teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHours,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
7,0.143,0,0,11,22.143,2.013,0.716,20.714,1.883,0.979,23.571,2.143,1.537,6.071,0.552,0.836,10,0.909,0.719,11,0,22.143,0,2.013,0,20.714,0,1.883,0,23.571,0,2.143,0,6.071,0,0.552,0,10,0,0.909,0,1.833,0.687,3.69,1.393,2.004,0.353,3.452,1.265,1.905,0.395,3.929,1.967,2.083,0.598,1.012,0.665,0.585,0.323,1.667,1.16,0.913,0.471,2,2,1,102,51,12,2,0,2,0,1,0,102,0,2,0,2,0,0,0,A
5,0.2,1,0,3,3.571,1.19,0.471,3.214,1.071,0.707,4.821,1.607,1.275,2.857,0.952,1.886,2.143,0.714,0,3,0,3.571,0,1.19,0,3.214,0,1.071,0,4.821,0,1.607,0,2.857,0,0.952,0,2.143,0,0.714,0,1,0,1.19,0.337,1.19,0.337,1.071,0.505,1.071,0.505,1.607,0.911,1.607,0.911,0.952,1.347,0.952,1.347,0.714,0,0.714,0,1,1,1,20,20,0,1,0,1,0,1,0,20,0,1,0,1,0,0,0,F
5,0.6,1,0,6,16.429,2.738,3.131,15,2.5,1.893,14.286,2.381,2.134,3.571,0.595,1.863,10,1.667,1.7,6,0,16.429,0,2.738,0,15,0,2.5,0,14.286,0,2.381,0,3.571,0,0.595,0,10,0,1.667,0,1.2,0.4,3.286,2.695,2.714,2.407,3,1.938,2.429,1.4,2.857,1.498,2.571,1.604,0.714,1.429,0.714,1.429,2,1.385,1.714,1.325,3,3,1,81,27,10.231,1.5,0.5,1.5,0.5,1,0,40.5,26.5,3,0,3,0,0,0,A
5,0.2,1,0,6,6.429,1.071,0.5,7.143,1.19,0.471,8.571,1.429,1.155,2.143,0.357,0.764,2.5,0.417,0.449,6,0,6.429,0,1.071,0,7.143,0,1.19,0,8.571,0,1.429,0,2.143,0,0.357,0,2.5,0,0.417,0,1.2,0.4,1.286,0.833,1,0.35,1.429,0.782,1.143,0.35,1.714,0.728,1.571,0.833,0.429,0.571,0.429,0.571,0.5,0.535,0.357,0.319,1,1,1,27,27,0,1,0,1,0,1,0,27,0,1,0,1,0,0,0,A
5,0,0,0,8,20.714,2.589,0.893,20.714,2.589,0.893,18.571,2.321,1.871,0,0,0,4.643,0.58,0.609,8,0,20.714,0,2.589,0,20.714,0,2.589,0,18.571,0,2.321,0,0,0,0,0,4.643,0,0.58,0,1.6,0.49,4.143,1.787,2.464,0.429,4.143,1.787,2.464,0.429,3.714,1.474,2.393,0.811,0,0,0,0,0.929,0.623,0.571,0.286,11,2,0.182,157,14.273,10.349,5.5,4.5,1,0,0.55,0.45,78.5,31.5,11,0,2,0,0,0,F
5,0.6,1,0,6,8.571,1.429,0.577,8.571,1.429,0.577,8.286,1.381,1.213,5.214,0.869,1.302,1.571,0.262,0.45,6,0,8.571,0,1.429,0,8.571,0,1.429,0,8.286,0,1.381,0,5.214,0,0.869,0,1.571,0,0.262,0,1.2,0.4,1.714,0.969,1.357,0.35,1.714,0.969,1.357,0.35,1.657,0.703,1.471,0.747,1.043,0.928,1.021,0.947,0.314,0.331,0.3,0.339,1,1,1,28,28,0,1,0,1,0,1,0,28,0,1,0,1,0,0,0,A
5,0,0,0,4,6.786,1.696,0.96,6.429,1.607,0.901,12.5,3.125,2.77,3.571,0.893,1.639,2.143,0.536,0.829,4,0,6.786,0,1.696,0,6.429,0,1.607,0,12.5,0,3.125,0,3.571,0,0.893,0,2.143,0,0.536,0,1,0,1.696,0.686,1.696,0.686,1.607,0.644,1.607,0.644,3.125,1.978,3.125,1.978,0.893,1.171,0.893,1.171,0.536,0.592,0.536,0.592,8,8,1,381,47.625,15.668,8,0,8,0,1,0,381,0,4,3,4,0,0,0,A
3,0,0,1,3,4.286,1.429,0,3.571,1.19,0.471,4.286,1.429,0,1.786,0.595,0.85,0.714,0.238,0.236,3,0,4.286,0,1.429,0,3.571,0,1.19,0,4.286,0,1.429,0,1.786,0,0.595,0,0.714,0,0.238,0,1,0,1.429,0,1.429,0,1.19,0.337,1.19,0.337,1.429,0,1.429,0,0.595,0.607,0.595,0.607,0.238,0.168,0.238,0.168,5,5,1,133,26.6,16.883,5,0,5,0,1,0,133,0,2.5,1.5,2.5,0,0,0,F
7,0.286,0,0,1,2,2,0,1,1,0,3,3,0,0,0,0,1,1,0,1,0,2,0,2,0,1,0,1,0,3,0,3,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
6,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0.5,0.5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0.5,0,0.5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
6,0.167,0,0,1,2,2,0,1,1,0,4,4,0,0,0,0,0.25,0.25,0,1,0,2,0,2,0,1,0,1,0,4,0,4,0,0,0,0,0,0.25,0,0.25,0,1,0,2,0,2,0,1,0,1,0,4,0,4,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
3,0,0,1,1,1,1,0,1,1,0,45,45,0,1,1,0,0.5,0.5,0,1,0,1,0,1,0,1,0,1,0,45,0,45,0,1,0,1,0,0.5,0,0.5,0,1,0,1,0,1,0,1,0,1,0,45,0,45,0,1,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
7,0.143,0,0,11,21.143,1.922,3.283,10.857,0.987,1.135,23.429,2.13,3.387,6.286,0.571,1.348,8,0.727,1.656,11,0,21.143,0,1.922,0,10.857,0,0.987,0,23.429,0,2.13,0,6.286,0,0.571,0,8,0,0.727,0,1.571,0.495,3.02,3.505,1.755,1.704,1.551,0.902,0.939,0.365,3.347,3.448,2.082,1.805,0.898,0.909,0.735,0.862,1.143,1.331,0.653,0.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
7,0.143,0,0,11,13.714,1.247,1.192,6.286,0.571,0.853,14.857,1.351,1.494,2.857,0.26,0.891,10.286,0.935,2.175,11,0,13.714,0,1.247,0,6.286,0,0.571,0,14.857,0,1.351,0,2.857,0,0.26,0,10.286,0,0.935,0,1.571,0.495,1.959,1.095,1.184,0.493,0.898,0.673,0.612,0.387,2.122,1.665,1.306,0.777,0.408,0.589,0.204,0.294,1.469,1.797,0.837,0.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
7,0.143,0,0,9,12.571,1.397,1.165,8.286,0.921,0.567,29.143,3.238,8.756,0,0,0,7.429,0.825,1.499,9,0,12.571,0,1.397,0,8.286,0,0.921,0,29.143,0,3.238,0,0,0,0,0,7.429,0,0.825,0,1.286,0.452,1.796,0.476,1.551,0.645,1.184,0.321,0.98,0.3,4.163,5.825,2.816,2.734,0,0,0,0,1.061,0.887,0.98,0.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
4,0.25,0,1,3,5.429,1.81,1.312,2.857,0.952,0.236,10.857,3.619,4.028,4.571,1.524,3.771,0.571,0.19,0.471,3,0,5.429,0,1.81,0,2.857,0,0.952,0,10.857,0,3.619,0,4.571,0,1.524,0,0.571,0,0.19,0,1,0,1.81,0.75,1.81,0.75,0.952,0.135,0.952,0.135,3.619,2.302,3.619,2.302,1.524,2.155,1.524,2.155,0.19,0.269,0.19,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0.2,0,0,5,10.714,2.143,0.632,8.571,1.714,0.49,7.5,1.5,1.114,2.143,0.429,0.8,2.857,0.571,0.98,5,0,10.714,0,2.143,0,8.571,0,1.714,0,7.5,0,1.5,0,2.143,0,0.429,0,2.857,0,0.571,0,1,0,2.143,0.452,2.143,0.452,1.714,0.35,1.714,0.35,1.5,0.795,1.5,0.795,0.429,0.571,0.429,0.571,0.571,0.7,0.571,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
6,0,0,0,3,7.857,2.619,0.471,5.714,1.905,1.247,7.143,2.381,0.943,1.429,0.476,0.943,0.714,0.238,0.471,3,0,7.857,0,2.619,0,5.714,0,1.905,0,7.143,0,2.381,0,1.429,0,0.476,0,0.714,0,0.238,0,1,0,2.619,0.337,2.619,0.337,1.905,0.891,1.905,0.891,2.381,0.673,2.381,0.673,0.476,0.673,0.476,0.673,0.238,0.337,0.238,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
4,0.25,1,0,2,4.286,2.143,0,4.286,2.143,0,5,2.5,0.5,1.429,0.714,1,2.857,1.429,0,2,0,4.286,0,2.143,0,4.286,0,2.143,0,5,0,2.5,0,1.429,0,0.714,0,2.857,0,1.429,0,1,0,2.143,0,2.143,0,2.143,0,2.143,0,2.5,0.357,2.5,0.357,0.714,0.714,0.714,0.714,1.429,0,1.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
6,0.5,1,0,6,10.5,1.75,1.627,8.357,1.393,0.588,14.286,2.381,2.494,7.857,1.31,2.192,4.286,0.714,1.118,6,0,10.5,0,1.75,0,8.357,0,1.393,0,14.286,0,2.381,0,7.857,0,1.31,0,4.286,0,0.714,0,1,0,1.75,1.162,1.75,1.162,1.393,0.42,1.393,0.42,2.381,1.782,2.381,1.782,1.31,1.566,1.31,1.566,0.714,0.799,0.714,0.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
5,0.4,0,0,4,9.286,2.321,0.433,9.286,2.321,0.433,10,2.5,2.693,0,0,0,3.214,0.804,1.139,4,0,9.286,0,2.321,0,9.286,0,2.321,0,10,0,2.5,0,0,0,0,0,3.214,0,0.804,0,1,0,2.321,0.309,2.321,0.309,2.321,0.309,2.321,0.309,2.5,1.923,2.5,1.923,0,0,0,0,0.804,0.813,0.804,0.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0.2,0,0,5,11.429,2.286,0.748,10.714,2.143,0.894,8.571,1.714,0.8,0,0,0,4.286,0.857,0.4,5,0,11.429,0,2.286,0,10.714,0,2.143,0,8.571,0,1.714,0,0,0,0,0,4.286,0,0.857,0,1,0,2.286,0.535,2.286,0.535,2.143,0.639,2.143,0.639,1.714,0.571,1.714,0.571,0,0,0,0,0.857,0.286,0.857,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0.4,1,0,10,23.286,2.329,1.991,20.143,2.014,1.855,20.857,2.086,3.494,4.143,0.414,2.238,6.821,0.682,2.116,5,0,11.643,4.643,2.329,0.929,10.071,4.071,2.014,0.814,10.429,6.714,2.086,1.343,2.071,0.786,0.414,0.157,3.411,1.411,0.682,0.282,2,0,4.657,0.95,2.329,0.475,4.029,0.835,2.014,0.417,4.171,1.304,2.086,0.652,0.829,0.769,0.414,0.384,1.364,1.353,0.682,0.677,98,62,0.633,2761,28.174,33.155,49,30,31.5,12.5,0.779,0.222,1380.5,680.5,32.667,10.873,21,1,1,0,A
5,0.2,0,0,10,10.714,1.071,0.831,8.714,0.871,1.005,9.857,0.986,0.9,8.571,0.857,2.49,3.5,0.35,0.583,5,0,5.357,1.929,1.071,0.386,4.357,2.071,0.871,0.414,4.929,1.5,0.986,0.3,4.286,4.286,0.857,0.857,1.75,1.036,0.35,0.207,2,0,2.143,0.239,1.071,0.12,1.743,0.291,0.871,0.146,1.971,0.107,0.986,0.053,1.714,0.899,0.857,0.449,0.7,0.095,0.35,0.047,6,4,0.667,250,41.667,19.779,6,0,4,0,0.667,0,250,0,3,0,2,1,1,0,A
5,0.2,0,0,11,11.643,1.058,1.993,8.214,0.747,0.45,9,0.818,1.134,6,0.545,2.016,4.357,0.396,0.596,5.5,0.5,5.821,2.964,1.018,0.446,4.107,1.25,0.732,0.161,4.5,1.929,0.793,0.279,3,1.286,0.529,0.186,2.179,0.607,0.389,0.075,2.2,0.4,2.329,1.487,0.988,0.395,1.643,0.192,0.76,0.106,1.8,0.736,0.817,0.324,1.2,1.044,0.514,0.43,0.871,0.427,0.405,0.218,4,3,0.75,130,32.5,6.185,2,0,1.5,0.5,0.75,0.25,65,5,2,1,1.5,1,1,0,A
6,0.167,0,0,12,35.357,2.946,1.761,25.357,2.113,1.622,43.643,3.637,3.455,3.857,0.321,0.64,7.286,0.607,0.924,6,0,17.679,12.321,2.946,2.054,12.679,10.321,2.113,1.72,21.821,16.679,3.637,2.78,1.929,1.071,0.321,0.179,3.643,2.357,0.607,0.393,2,0,5.893,1.225,2.946,0.612,4.226,0.879,2.113,0.44,7.274,4.014,3.637,2.007,0.643,0.954,0.321,0.477,1.214,1.29,0.607,0.645,4,2,0.5,191,47.75,1.299,4,0,2,0,0.5,0,191,0,4,0,2,1,1,0,F
6,0.333,0,0,12,27.1,2.258,0.962,19.214,1.601,0.505,22.429,1.869,0.886,5.143,0.429,0.624,5.286,0.44,0.571,6,0,13.55,4.55,2.258,0.758,9.607,4.893,1.601,0.815,11.214,6.286,1.869,1.048,2.571,0.429,0.429,0.071,2.643,1.357,0.44,0.226,2,0,4.517,0.984,2.258,0.492,3.202,0.464,1.601,0.232,3.738,0.917,1.869,0.459,0.857,0.742,0.429,0.371,0.881,0.847,0.44,0.423,1,1,1,51,51,0,1,0,1,0,1,0,51,0,1,0,1,1,1,0,F
3,0,0,1,2,6.429,3.214,0.5,3.571,1.786,0.5,7.857,3.929,1.5,0,0,0,1.786,0.893,0.75,2,0,6.429,0,3.214,0,3.571,0,1.786,0,7.857,0,3.929,0,0,0,0,0,1.786,0,0.893,0,1,0,3.214,0.357,3.214,0.357,1.786,0.357,1.786,0.357,3.929,1.071,3.929,1.071,0,0,0,0,0.893,0.536,0.893,0.536,11,4,0.364,10,0.909,1.311,11,0,4,0,0.364,0,10,0,11,0,4,0,0,0,A
6,0.167,0,0,12,10,0.833,1.479,8.286,0.69,1.675,12.286,1.024,1.233,10.143,0.845,3.851,5.429,0.452,1.863,6,0,5,1.857,0.833,0.31,4.143,1.857,0.69,0.31,6.143,2.429,1.024,0.405,5.071,4.786,0.845,0.798,2.714,1.571,0.452,0.262,2,0,1.667,0.895,0.833,0.447,1.381,1.026,0.69,0.513,2.048,0.673,1.024,0.337,1.69,2.031,0.845,1.016,0.905,1.228,0.452,0.614,4,3,0.75,59,14.75,19.253,4,0,3,0,0.75,0,59,0,4,0,3,0,0,0,F
5,0.2,1,0,10,10.357,1.036,0.814,8.857,0.886,1.005,11.286,1.129,1,2.571,0.257,1.497,5.714,0.571,1.02,5,0,5.179,2.321,1.036,0.464,4.429,2.429,0.886,0.486,5.643,2.5,1.129,0.5,1.286,1.286,0.257,0.257,2.857,0.571,0.571,0.114,2,0,2.071,0.192,1.036,0.096,1.771,0.28,0.886,0.14,2.257,0.277,1.129,0.139,0.514,0.831,0.257,0.416,1.143,0.394,0.571,0.197,5,3,0.6,112,22.4,0.49,5,0,3,0,0.6,0,112,0,5,0,3,0,0,0,A
5,0.2,0,0,10,12,1.2,1.077,10.571,1.057,1.077,11.357,1.136,1.274,1.857,0.186,0.806,3.286,0.329,0.539,5,0,6,2.571,1.2,0.514,5.286,2.429,1.057,0.486,5.679,2.25,1.136,0.45,0.929,0.357,0.186,0.071,1.643,0.5,0.329,0.1,2,0,2.4,0.291,1.2,0.146,2.114,0.388,1.057,0.194,2.271,0.439,1.136,0.219,0.371,0.554,0.186,0.277,0.657,0.214,0.329,0.107,18,17,0.944,811,45.056,39.729,9,6,8.5,5.5,0.967,0.033,405.5,360.5,6,2.449,5.667,0,0,0,A
5,0.2,0,0,10,10,1,0.748,7.143,0.714,0.632,15,1.5,2.147,2.143,0.214,1.2,4.714,0.471,0.781,5,0,5,1,1,0.2,3.571,0.714,0.714,0.143,7.5,0.643,1.5,0.129,1.071,0.214,0.214,0.043,2.357,0.643,0.471,0.129,2,0,2,0.535,1,0.267,1.429,0.452,0.714,0.226,3,1.209,1.5,0.604,0.429,0.542,0.214,0.271,0.943,0.448,0.471,0.224,4,2,0.5,128,32,8.66,4,0,2,0,0.5,0,128,0,4,0,2,0,0,0,A
5,0,0,0,10,6.5,0.65,0.75,5.786,0.579,0.789,10.714,1.071,2.098,10.429,1.043,3.754,2.714,0.271,0.602,5,0,3.25,1.25,0.65,0.25,2.893,1.179,0.579,0.236,5.357,2.357,1.071,0.471,5.214,1.214,1.043,0.243,1.357,0.357,0.271,0.071,2,0,1.3,0.114,0.65,0.057,1.157,0.425,0.579,0.212,2.143,0.894,1.071,0.447,2.086,2.59,1.043,1.295,0.543,0.331,0.271,0.165,7,7,1,173,24.714,9.254,3.5,2.5,3.5,2.5,1,0,86.5,67.5,2.333,1.886,2.333,0,0,0,A
