teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
4.000,0.000,0.000,1.000,3.000,4.571,1.524,0.471,1.714,0.571,0.000,2.000,0.667,0.624,0.000,0.000,0.000,0.857,0.286,0.408,3.000,0.000,4.571,0.000,1.524,0.000,1.714,0.000,0.571,0.000,2.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.857,0.000,0.286,0.000,1.000,0.000,1.524,0.269,1.524,0.269,0.571,0.000,0.571,0.000,0.667,0.356,0.667,0.356,0.000,0.000,0.000,0.000,0.286,0.233,0.286,0.233,1.000,1.000,1.000,50.000,50.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,50.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,F
7.000,0.143,0.000,0.000,11.000,22.143,2.013,0.716,20.714,1.883,0.979,23.571,2.143,1.537,6.071,0.552,0.836,10.000,0.909,0.719,11.000,0.000,22.143,0.000,2.013,0.000,20.714,0.000,1.883,0.000,23.571,0.000,2.143,0.000,6.071,0.000,0.552,0.000,10.000,0.000,0.909,0.000,1.833,0.687,3.690,1.393,2.004,0.353,3.452,1.265,1.905,0.395,3.929,1.967,2.083,0.598,1.012,0.665,0.585,0.323,1.667,1.160,0.913,0.471,2.000,2.000,1.000,102.000,51.000,12.000,2.000,0.000,2.000,0.000,1.000,0.000,102.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,A
5.000,0.200,1.000,0.000,3.000,3.571,1.190,0.471,3.214,1.071,0.707,4.821,1.607,1.275,2.857,0.952,1.886,2.143,0.714,0.000,3.000,0.000,3.571,0.000,1.190,0.000,3.214,0.000,1.071,0.000,4.821,0.000,1.607,0.000,2.857,0.000,0.952,0.000,2.143,0.000,0.714,0.000,1.000,0.000,1.190,0.337,1.190,0.337,1.071,0.505,1.071,0.505,1.607,0.911,1.607,0.911,0.952,1.347,0.952,1.347,0.714,0.000,0.714,0.000,1.000,1.000,1.000,20.000,20.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,20.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,F
5.000,0.600,1.000,0.000,6.000,16.429,2.738,3.131,15.000,2.500,1.893,14.286,2.381,2.134,3.571,0.595,1.863,10.000,1.667,1.700,6.000,0.000,16.429,0.000,2.738,0.000,15.000,0.000,2.500,0.000,14.286,0.000,2.381,0.000,3.571,0.000,0.595,0.000,10.000,0.000,1.667,0.000,1.200,0.400,3.286,2.695,2.714,2.407,3.000,1.938,2.429,1.400,2.857,1.498,2.571,1.604,0.714,1.429,0.714,1.429,2.000,1.385,1.714,1.325,3.000,3.000,1.000,81.000,27.000,10.231,1.500,0.500,1.500,0.500,1.000,0.000,40.500,26.500,3.000,0.000,3.000,0.000,0.000,0.000,A
5.000,0.200,1.000,0.000,6.000,6.429,1.071,0.500,7.143,1.190,0.471,8.571,1.429,1.155,2.143,0.357,0.764,2.500,0.417,0.449,6.000,0.000,6.429,0.000,1.071,0.000,7.143,0.000,1.190,0.000,8.571,0.000,1.429,0.000,2.143,0.000,0.357,0.000,2.500,0.000,0.417,0.000,1.200,0.400,1.286,0.833,1.000,0.350,1.429,0.782,1.143,0.350,1.714,0.728,1.571,0.833,0.429,0.571,0.429,0.571,0.500,0.535,0.357,0.319,1.000,1.000,1.000,27.000,27.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,27.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,A
5.000,0.000,0.000,0.000,8.000,20.714,2.589,0.893,20.714,2.589,0.893,18.571,2.321,1.871,0.000,0.000,0.000,4.643,0.580,0.609,8.000,0.000,20.714,0.000,2.589,0.000,20.714,0.000,2.589,0.000,18.571,0.000,2.321,0.000,0.000,0.000,0.000,0.000,4.643,0.000,0.580,0.000,1.600,0.490,4.143,1.787,2.464,0.429,4.143,1.787,2.464,0.429,3.714,1.474,2.393,0.811,0.000,0.000,0.000,0.000,0.929,0.623,0.571,0.286,11.000,2.000,0.182,157.000,14.273,10.349,5.500,4.500,1.000,0.000,0.550,0.450,78.500,31.500,11.000,0.000,2.000,0.000,0.000,0.000,F
5.000,0.600,1.000,0.000,6.000,8.571,1.429,0.577,8.571,1.429,0.577,8.286,1.381,1.213,5.214,0.869,1.302,1.571,0.262,0.450,6.000,0.000,8.571,0.000,1.429,0.000,8.571,0.000,1.429,0.000,8.286,0.000,1.381,0.000,5.214,0.000,0.869,0.000,1.571,0.000,0.262,0.000,1.200,0.400,1.714,0.969,1.357,0.350,1.714,0.969,1.357,0.350,1.657,0.703,1.471,0.747,1.043,0.928,1.021,0.947,0.314,0.331,0.300,0.339,1.000,1.000,1.000,28.000,28.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,28.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,A
5.000,0.000,0.000,0.000,4.000,6.786,1.696,0.960,6.429,1.607,0.901,12.500,3.125,2.770,3.571,0.893,1.639,2.143,0.536,0.829,4.000,0.000,6.786,0.000,1.696,0.000,6.429,0.000,1.607,0.000,12.500,0.000,3.125,0.000,3.571,0.000,0.893,0.000,2.143,0.000,0.536,0.000,1.000,0.000,1.696,0.686,1.696,0.686,1.607,0.644,1.607,0.644,3.125,1.978,3.125,1.978,0.893,1.171,0.893,1.171,0.536,0.592,0.536,0.592,8.000,8.000,1.000,381.000,47.625,15.668,8.000,0.000,8.000,0.000,1.000,0.000,381.000,0.000,4.000,3.000,4.000,0.000,0.000,0.000,A
3.000,0.000,0.000,1.000,3.000,4.286,1.429,0.000,3.571,1.190,0.471,4.286,1.429,0.000,1.786,0.595,0.850,0.714,0.238,0.236,3.000,0.000,4.286,0.000,1.429,0.000,3.571,0.000,1.190,0.000,4.286,0.000,1.429,0.000,1.786,0.000,0.595,0.000,0.714,0.000,0.238,0.000,1.000,0.000,1.429,0.000,1.429,0.000,1.190,0.337,1.190,0.337,1.429,0.000,1.429,0.000,0.595,0.607,0.595,0.607,0.238,0.168,0.238,0.168,5.000,5.000,1.000,133.000,26.600,16.883,5.000,0.000,5.000,0.000,1.000,0.000,133.000,0.000,2.500,1.500,2.500,0.000,0.000,0.000,F
7.000,0.286,0.000,0.000,1.000,2.000,2.000,0.000,1.000,1.000,0.000,3.000,3.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,2.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,3.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,2.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,3.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,A
6.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,F
6.000,0.167,0.000,0.000,1.000,2.000,2.000,0.000,1.000,1.000,0.000,4.000,4.000,0.000,0.000,0.000,0.000,0.250,0.250,0.000,1.000,0.000,2.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,4.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,1.000,0.000,2.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,4.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,F
3.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,0.000,45.000,45.000,0.000,1.000,1.000,0.000,0.500,0.500,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,45.000,0.000,45.000,0.000,1.000,0.000,1.000,0.000,0.500,0.000,0.500,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,45.000,0.000,45.000,0.000,1.000,0.000,1.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,F
7.000,0.143,0.000,0.000,11.000,21.143,1.922,3.283,10.857,0.987,1.135,23.429,2.130,3.387,6.286,0.571,1.348,8.000,0.727,1.656,11.000,0.000,21.143,0.000,1.922,0.000,10.857,0.000,0.987,0.000,23.429,0.000,2.130,0.000,6.286,0.000,0.571,0.000,8.000,0.000,0.727,0.000,1.571,0.495,3.020,3.505,1.755,1.704,1.551,0.902,0.939,0.365,3.347,3.448,2.082,1.805,0.898,0.909,0.735,0.862,1.143,1.331,0.653,0.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,A
7.000,0.143,0.000,0.000,11.000,13.714,1.247,1.192,6.286,0.571,0.853,14.857,1.351,1.494,2.857,0.260,0.891,10.286,0.935,2.175,11.000,0.000,13.714,0.000,1.247,0.000,6.286,0.000,0.571,0.000,14.857,0.000,1.351,0.000,2.857,0.000,0.260,0.000,10.286,0.000,0.935,0.000,1.571,0.495,1.959,1.095,1.184,0.493,0.898,0.673,0.612,0.387,2.122,1.665,1.306,0.777,0.408,0.589,0.204,0.294,1.469,1.797,0.837,0.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,F
7.000,0.143,0.000,0.000,9.000,12.571,1.397,1.165,8.286,0.921,0.567,29.143,3.238,8.756,0.000,0.000,0.000,7.429,0.825,1.499,9.000,0.000,12.571,0.000,1.397,0.000,8.286,0.000,0.921,0.000,29.143,0.000,3.238,0.000,0.000,0.000,0.000,0.000,7.429,0.000,0.825,0.000,1.286,0.452,1.796,0.476,1.551,0.645,1.184,0.321,0.980,0.300,4.163,5.825,2.816,2.734,0.000,0.000,0.000,0.000,1.061,0.887,0.980,0.902,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,A
4.000,0.250,0.000,1.000,3.000,5.429,1.810,1.312,2.857,0.952,0.236,10.857,3.619,4.028,4.571,1.524,3.771,0.571,0.190,0.471,3.000,0.000,5.429,0.000,1.810,0.000,2.857,0.000,0.952,0.000,10.857,0.000,3.619,0.000,4.571,0.000,1.524,0.000,0.571,0.000,0.190,0.000,1.000,0.000,1.810,0.750,1.810,0.750,0.952,0.135,0.952,0.135,3.619,2.302,3.619,2.302,1.524,2.155,1.524,2.155,0.190,0.269,0.190,0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,F
5.000,0.200,0.000,0.000,5.000,10.714,2.143,0.632,8.571,1.714,0.490,7.500,1.500,1.114,2.143,0.429,0.800,2.857,0.571,0.980,5.000,0.000,10.714,0.000,2.143,0.000,8.571,0.000,1.714,0.000,7.500,0.000,1.500,0.000,2.143,0.000,0.429,0.000,2.857,0.000,0.571,0.000,1.000,0.000,2.143,0.452,2.143,0.452,1.714,0.350,1.714,0.350,1.500,0.795,1.500,0.795,0.429,0.571,0.429,0.571,0.571,0.700,0.571,0.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,A
6.000,0.000,0.000,0.000,3.000,7.857,2.619,0.471,5.714,1.905,1.247,7.143,2.381,0.943,1.429,0.476,0.943,0.714,0.238,0.471,3.000,0.000,7.857,0.000,2.619,0.000,5.714,0.000,1.905,0.000,7.143,0.000,2.381,0.000,1.429,0.000,0.476,0.000,0.714,0.000,0.238,0.000,1.000,0.000,2.619,0.337,2.619,0.337,1.905,0.891,1.905,0.891,2.381,0.673,2.381,0.673,0.476,0.673,0.476,0.673,0.238,0.337,0.238,0.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,F
4.000,0.250,1.000,0.000,2.000,4.286,2.143,0.000,4.286,2.143,0.000,5.000,2.500,0.500,1.429,0.714,1.000,2.857,1.429,0.000,2.000,0.000,4.286,0.000,2.143,0.000,4.286,0.000,2.143,0.000,5.000,0.000,2.500,0.000,1.429,0.000,0.714,0.000,2.857,0.000,1.429,0.000,1.000,0.000,2.143,0.000,2.143,0.000,2.143,0.000,2.143,0.000,2.500,0.357,2.500,0.357,0.714,0.714,0.714,0.714,1.429,0.000,1.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,F
6.000,0.500,1.000,0.000,6.000,10.500,1.750,1.627,8.357,1.393,0.588,14.286,2.381,2.494,7.857,1.310,2.192,4.286,0.714,1.118,6.000,0.000,10.500,0.000,1.750,0.000,8.357,0.000,1.393,0.000,14.286,0.000,2.381,0.000,7.857,0.000,1.310,0.000,4.286,0.000,0.714,0.000,1.000,0.000,1.750,1.162,1.750,1.162,1.393,0.420,1.393,0.420,2.381,1.782,2.381,1.782,1.310,1.566,1.310,1.566,0.714,0.799,0.714,0.799,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,A
5.000,0.400,0.000,0.000,4.000,9.286,2.321,0.433,9.286,2.321,0.433,10.000,2.500,2.693,0.000,0.000,0.000,3.214,0.804,1.139,4.000,0.000,9.286,0.000,2.321,0.000,9.286,0.000,2.321,0.000,10.000,0.000,2.500,0.000,0.000,0.000,0.000,0.000,3.214,0.000,0.804,0.000,1.000,0.000,2.321,0.309,2.321,0.309,2.321,0.309,2.321,0.309,2.500,1.923,2.500,1.923,0.000,0.000,0.000,0.000,0.804,0.813,0.804,0.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,F
